gene_id	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3
gene_2827	579	694	538	325	386	453
gene_2828	233	331	232	199	241	356
gene_2829	719	884	700	436	478	570
gene_2830	59	83	53	67	69	88
gene_2831	1571	2059	1552	988	1215	1460
gene_2832	97	121	81	67	90	146
gene_2833	279	349	258	237	267	352
gene_2834	3275	4331	3305	1516	1614	2278
gene_2835	204	262	191	187	234	251
gene_2836	279	343	247	324	335	459
gene_2837	779	1207	815	277	269	405
gene_2838	530	738	513	174	216	316
gene_2839	344	364	287	330	433	519
gene_2840	351	404	283	308	354	435
gene_2841	63	97	94	74	64	92
gene_2842	1154	1362	1003	787	915	1157
gene_2843	511	653	509	248	253	403
gene_2844	155	186	127	211	294	323
gene_2845	6575	9128	7086	2182	2631	3276
gene_2846	410	509	434	184	209	271
gene_2847	865	1318	918	606	704	899
gene_2848	554	667	516	321	399	480
gene_2849	284	388	263	285	342	471
gene_2850	4703	6602	5157	1333	1621	2208
gene_2851	87	81	49	189	306	326
gene_2852	40	54	33	27	41	42
gene_2853	202	270	222	279	364	420
gene_2854	0	0	0	0	0	0
gene_2855	4	2	4	6	4	6
gene_2856	4	1	2	2	1	0
gene_2857	34	38	22	27	25	43
gene_2858	18	52	30	39	41	37
gene_2859	64	89	57	27	47	49
gene_2860	0	0	0	0	0	0
gene_2861	1	0	0	0	0	0
gene_2862	0	1	0	2	3	1
gene_2863	43	63	47	29	52	58
gene_2864	735	1019	776	282	304	332
gene_2865	49	87	45	57	57	89
gene_2866	94	178	105	102	130	191
gene_2867	186	173	131	135	199	250
gene_2868	0	0	0	0	0	0
gene_2871	15	18	13	7	13	16
gene_2872	0	0	0	0	0	0
gene_2875	676	943	699	633	785	1049
gene_2877	82	100	80	126	158	173
gene_2878	139	175	116	96	100	132
